Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Dekker, Jacob Pieter",P106072,1.0,NA,NA,Hewlett-Packard (60216) - Bestuurder
"Trepels, Johannes Petrus Gerardus Marie (Johan)",P112316,0.958,197,102,Vleeswaren Prepensionering (60755) - Bestuurder<br />Vleesindustrie (14311) - Bestuurder
"Visser, Richard Lodewijk de",P128004,1.0,NA,NA,HAL (2776) - Bestuurder
"Nieuwenhof, Wilhelmus Petrus Charles van den",P125807,0.505,116,1141,Cosun (7777) - Bestuursvoorzitter<br />Heinz (7158) - Bestuurder
"Klapwijk, Pieter Simon Adriaan",P109257,1.0,NA,NA,Alliance (9041) - Bestuurder
"Kiep, Bastiaan Huibertus",P126579,1.0,206,1016,PostNL (60463) - Bestuurder
"Haveman, Geert Jan",P120923,1.0,206,1090,Hoogovens (7044) - Bestuurder
"Mos, Johannes Albertus Nicolaas",P111320,1.0,NA,NA,Vredestein Banden (60921) - Bestuurder
"Koning, Eildert",P121332,1.0,NA,NA,Hunter Douglas (34124) - Bestuurder
"Helm, Theodorus Johannes van der",P113690,1.0,206,1123,Achmea (60917) - Bestuurder
"Honsdrecht, Benno",P132385,1.0,206,1038,SNS Reaal  (60701) - Bestuurder
"Tammens, Eppo",P129062,1.0,NA,NA,Will Niemeijer (13579) - Bestuurder
"Jong, Huibert de",P115049,1.0,206,202,Waterbouw (14400) - Bestuurder
"Pluimers, Petrus Johannes",P107791,1.0,NA,NA,Fluor Nederland (60123) - Bestuurder
"Hillen, Theodorus Willibrordus Franciscus",P127249,0.59,163,809,Ardagh (47068) - Bestuurder<br />TDV (47985) - Mede-beleidsbepaler
"Heijningen, Franciscus Jacobus (Frank) van",P130613,1.0,NA,NA,Fluor Nederland (60123) - Bestuurder
"Domacassé, Herbert Filomeno",P126853,1.0,206,968,Caribisch Nederland (60952) - Lid Raad van Toezicht
"Voskuilen, Edwin",P114015,1.0,NA,NA,Avery Dennison (60245) - Bestuurder
"Omvlee, Hans Marcel",P109561,1.0,NA,NA,Fracties (60898) - Bestuurder
"Altena, Johan Karel Eduard",P131597,1.0,206,1036,SNS Reaal  (60701) - Bestuurder
"Smit, Dirk Jan",P130827,1.0,206,984,APF (7781) - Lid Raad van Toezicht
Veld,P116987,1.0,206,815,TDV (47985) - Bestuurder
"Dik, Christianus Willebrordus",P107203,1.0,NA,NA,AHOLD (60397) - Bestuursvoorzitter
"Graaf, Jacob Hendrik Joseph Maria van der",P125283,1.0,206,1061,Witteveen & Bos (60084) - Bestuursvoorzitter
"Hoevenaars, Cornelis Martinus Joseph",P116766,1.0,206,1140,Ardagh (47068) - Bestuurder
"Phillipson, Frank",P126976,1.0,206,1067,TNO (692) - Bestuurder
"Hof, Cornelis van 't",P101610,1.0,206,723,Croda (60943) - Bestuurder
"Linden, Pieter Cornelis van der",P110865,1.0,206,218,STIPP (60792) - Voorzitter Raad van Toezicht
"Weerelt, Anthonius Maria van",P121268,1.0,NA,NA,Wijsmuller (50558) - Bestuurder
"Busser, Cornelis",P117183,1.0,206,617,Beroepsvervoer (33519) - Bestuurder
"Tas, Jacob",P106606,1.0,206,1078,Nedlloyd (47121) - Bestuurder
"Berrevoets, Remco Richard",P131133,1.0,206,542,Elsevier (50052) - Bestuurder
"Booij, Broer",P111840,1.0,206,376,Molenaars (18397) - Bestuurder
"d'Hooghe, Edward Louis Julia Clothilda Joseph",P125806,1.0,NA,NA,Dow (48477) - Bestuurder
"Weiler-van Hartingsveldt, Esther von",P128825,1.0,206,399,Schoonmaak- en Glazenwassers (42937) - Bestuurder
"Ceelen, Leonardus Joannes Henricus",P116731,1.0,206,616,Beroepsvervoer (33519) - Bestuursvoorzitter
"Bruijn, Hans Karel de",P112225,1.0,206,467,KLM Algemeen (2199) - Bestuurder
"Maassen, Jaap Frans",P114078,1.0,NA,NA,DSM (49417) - Lid Raad van Toezicht
"Stoffels, Mark Rene",P105808,1.0,NA,NA,Kas Bank (4306) - Bestuurder<br />Kas Bank (4306) - Bestuursvoorzitter
"Aalst, Paul Cornelis van",P123584,1.0,206,930,Wolters Kluwer  (60540) - Bestuurder
"Hofstra, Marten",P102819,1.0,206,1201,Heinz (7158) - Bestuurder
"Gunning, Christopher Joseph",P102937,1.0,NA,NA,Unisys (60388) - Bestuurder
"Til, Jan Pieter van",P123092,1.0,206,907,Sportfondsen (90) - Bestuurder
"Luyten, Lucienne Caroline Josephina Maria",P131081,1.0,206,780,Mercer (6102) - Bestuurder
"Groningen, Robbert van",P122793,1.0,NA,NA,Hagee (4654) - Bestuurder
"Koolbergen, Frans",P110372,1.0,NA,NA,ERIKS  (4308) - Bestuurder
"Coenradie, Lambertus",P110345,1.0,206,747,Grafische Bedrijven (PGB) (14089) - Bestuurder
"Sluis, Joachim Hugo",P130234,1.0,206,958,Fysiotherapeuten (7) - Bestuurder
"Botman, Frans Federik",P114198,1.0,NA,NA,Martinair Vliegers (60327) - Bestuurder
"Jong, Jan Janse de",P107260,1.0,206,379,Medewerkers Apotheken (15565) - Bestuurder
"Segers, Franciscus Theodorus Gerardus Johannes",P104099,1.0,NA,NA,Deutsche Bank Nederland (3062) - Bestuurder
"Baar, Hendrikus Jacobus van",P131591,1.0,NA,NA,Legal & General (48965) - Bestuurder
"Hammen, Edmund Léonard Simon",P129185,1.0,206,902,Flexsecurity (60798) - Bestuurder
"Lasonder, Marcel",P111809,1.0,NA,NA,Hewlett-Packard (60216) - Bestuursvoorzitter
"Baaij, Johannes Gijsbertus",P126867,1.0,206,1018,Transport (5580) - Bestuurder
